,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,kon_C,kon_O_95CI_low,kon_O_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
19,Spinacia oleracea,oleracea_andrews1985,1,0,False,,,,,105,3,,,,,,,,,,,,,,25,8.52,1,C3 plants,Figure 3,Andrews 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6."
20,Spinacia oleraceahybrid 102,oleracea_hybrid102_brooks,1,0,False,,,,,94.1,2.909918528327428,,,,,,,,,,,,,,25,,1,C3 plants,pH and pKa not clear from methods,Brooks 1985,https://doi.org/10.1007/BF00392238,"Brooks A, Farquhar GD. Effect of temperature on the CO2/O 2 specificity of ribulose-1,5-bisphosphate carboxylase/oxygenase and the rate of respiration in the light : Estimates from gas-exchange measurements on spinach. Planta. 1985 Aug;165(3):397-406. doi: 10.1007/BF00392238."
21,Triticum aestivum,aestivum_brooks,1,0,False,,,,,102,3.141846147482111,,,,,,,,,,,,,,25,,1,C3 plants,pH and pKa not clear from methods,Brooks 1985,https://doi.org/10.1007/BF00392238,"Brooks A, Farquhar GD. Effect of temperature on the CO2/O 2 specificity of ribulose-1,5-bisphosphate carboxylase/oxygenase and the rate of respiration in the light : Estimates from gas-exchange measurements on spinach. Planta. 1985 Aug;165(3):397-406. doi: 10.1007/BF00392238."
22,Triticum aestivum,aestivum_carmo_silva,1,0,False,10.9,0.9,,,100,9.2,341,33,,,,,,,,,,,,25,8.2,1,C3 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
23,Beta maritima ssp. marcosii,maritima_marcosii_galmes,1,0,False,,,,,96.3,2.977950629946135,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
24,Beta maritima ssp. maritima,maritima_maritima_galmes,1,0,False,,,,,92.9,2.8728101092626788,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
25,Diplotaxis ibicensis,ibicensis_galmes,1,0,False,,,,,95.6,2.9563040521583646,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
26,Hypericum balearicum,balearicum_galmes,1,0,False,,,,,93.6,2.894456687050449,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
27,Kundmannia sicula,sicula_galmes,1,0,False,,,,,89.2,2.758392483813035,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
28,Limonium gibertii,gibertii_galmes,1,0,False,,,,,110,3.417066922212336,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
29,Limonium magallufianum,magallufianum_galmes,1,0,False,,,,,106,3.2810027189749214,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
30,Lysimachia minoricensis,minoricensis_galmes,1,0,False,,,,,93.8,2.9006414235612406,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
31,Mentha aquatica,aquatica_galmes,1,0,False,,,,,97.2,3.0057819442446974,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
32,Pistacia lentiscus,lentiscus_galmes,1,0,False,,,,,97.2,3.0057819442446974,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
33,Rhamnus alaternus,alaternus_galmes,1,0,False,,,,,94.7,2.9284727378598028,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
34,Rhamnus ludovici-salvatoris,ludovici_salvatoris_galmes,1,0,False,,,,,94.4,2.9191956330936155,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
35,Urtica atrovirens ssp. bianorii,atrovirens_bianorii_galmes,1,0,False,,,,,90.2,2.789316166366993,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
36,Urtica membranacea,membranacea_galmes,1,0,False,,,,,102,3.1665850935252777,,,,,,,,,,,,,,25,8.2,1,C3 plants,,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
37,Limonium antonii‐llorensii,antonii_llorensii_galmes,1,0,False,8.7,0.3,2.4,0.1,112,1.8,397,20,0.977,0.841,1.13,0.276,0.0022,0.00274,0.00246,0.0022,0.00274,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
38,Limonium artruchium,artruchium_galmes,1,0,False,9.4,0.3,3,0.1,113,2,321,50,0.906,0.617,1.2,0.319,0.00257,0.00312,0.00283,0.00257,0.00312,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
39,Limonium balearicum,balearicum_galmes,1,0,False,9.7,0.5,3.6,0.1,103,1.5,346,19,1.24,1.06,1.46,0.371,0.0032,0.00405,0.00359,0.0032,0.00405,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
40,Limonium barceloi,barceloi_galmes,1,0,False,9.3,0.6,3.4,0.1,106,2,346,17,1.19,1,1.42,0.366,0.003,0.00399,0.00344,0.003,0.00399,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
41,Limonium biflorum,biflorum_galmes,1,0,False,8,0.3,2.4,0.1,112,1.8,316,19,0.846,0.714,0.993,0.3,0.00239,0.00301,0.00268,0.00239,0.00301,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
42,Limonium companyonis,companyonis_galmes,1,0,False,8.9,0.3,3.3,0.2,112,2.1,429,28,1.42,1.17,1.71,0.371,0.00287,0.0038,0.00332,0.00287,0.0038,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
43,Limonium echioides,echioides_galmes,1,0,False,10.7,0.2,3.9,0.1,106,1.8,427,38,1.46,1.2,1.75,0.364,0.00319,0.00367,0.00343,0.00319,0.00367,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
44,Limonium ejulabilis,ejulabilis_galmes,1,0,False,7.6,0.2,2,0.2,116,3.2,415,23,0.936,0.728,1.17,0.262,0.00181,0.00275,0.00226,0.00181,0.00275,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
45,Limonium gibertii,gibertii_galmes,1,0,False,9.1,0.7,2.5,0.1,112,2.5,431,81,1.05,0.652,1.52,0.275,0.00207,0.00295,0.00246,0.00207,0.00295,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
46,Limonium grosii,grosii_galmes,1,0,False,8.1,0.4,2.9,0.1,113,3.3,328,52,1.04,0.706,1.4,0.358,0.00278,0.00362,0.00316,0.00278,0.00362,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
47,Limonium gymnesicum,gymnesicum_galmes,1,0,False,8.2,0.1,2.4,0.1,121,2.3,388,15,0.937,0.828,1.06,0.293,0.0022,0.00265,0.00242,0.0022,0.00265,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
48,Limonium leonardi‐llorensii,leonardi_llorensii_galmes,1,0,False,8.8,0.4,2.8,0.1,110,1.1,438,30,1.27,1.06,1.51,0.319,0.00259,0.00326,0.0029,0.00259,0.00326,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
49,Limonium magallufianum,magallufianum_galmes,1,0,False,7,0.3,2.6,0.1,111,2.9,297,26,0.997,0.795,1.22,0.372,0.00297,0.00382,0.00336,0.00297,0.00382,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
50,Limonium retusum,retusum_galmes,1,0,False,7.1,0.4,2.1,0.1,121,1.4,396,10,0.968,0.83,1.13,0.296,0.00211,0.00284,0.00245,0.00211,0.00284,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
51,Arabidopsis thaliana,thaliana_galmes,1,0,False,9.9,0.4,4.1,0.3,,,333,29,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
52,Crithmum maritimum,maritimum_galmes,1,0,False,8.7,0.1,3.4,0.1,,,183,31,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
53,Dactylis glomerata cv. Porto,glomerata_galmes,1,0,False,10.7,0.1,3.2,0.2,,,453,79,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
