,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
10,Panicum coloratum,coloratum_sharwood,1,0,False,11.1,0.5,3.4,0.6,84.8,2.8,445,58,1.59,0.955,2.4,1.6,,0.307,0.2,0.419,0.00361,0.00236,0.00499,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
11,Pavlova lutheri,lutheri_heureux,1,0,False,14.5,1.6,2.5,0.1,125,2,1146,212,1.58,0.97,2.35,1.6,,0.173,0.14,0.222,0.00138,0.00111,0.00178,,,25,8.16,1,Haptophyte algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply",Heureux 2017,28582571,"Heureux, Ana M. C., Jodi N. Young, Spencer M. Whitney, Maeve R. Eason-Hubbard, Renee B. Y. Lee, Robert E. Sharwood, and Rosalind E. M. Rickaby. 2017. “The Role of Rubisco Kinetics and Pyrenoid Morphology in Shaping the CCM of Haptophyte Microalgae.” Journal of Experimental Botany 68 (14):3959–69."
12,Synechococcus sp. PCC 6301,6301_shih,1,0,E. coli,152,23,9.78,0.48,50.3,2,1231,135,1.58,1.07,2.4,1.58,0.17,0.0647,0.0486,0.0928,0.00128,0.000961,0.00186,,,25,8,1,Cyanobacteria,,Shih 2016,26790750,"Shih, Patrick M., Alessandro Occhialini, Jeffrey C. Cameron, P. John Andralojc, Martin A. J. Parry, and Cheryl A. Kerfeld. 2016. “Biochemical Characterization of Predicted Precambrian RuBisCO.” Nature Communications 7 (January). Nature Publishing Group:10382."
13,Chlamydomonas reinhardtii,reinhardtii_savir,0,0,,29,2,5.8,0.2,61,5,480,58,1.57,1.11,2.18,1.57,,0.2,0.173,0.234,0.00329,0.00266,0.00415,,,25,,1,Green algae,vC measured at 30 C and adjusted to 25 C using activation energy determined for a different RuBisCO from Euglena Gracis (by Tcherkez below),Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
14,Triticum aestivum,aestivum_savir,0,0,,14,3,2.5,0.2,90,1,730,41,1.44,0.958,2.52,1.45,,0.178,0.12,0.308,0.00198,0.00134,0.00342,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
15,Steinchisma laxa,laxa_sharwood,1,0,False,7.7,0.5,2.3,0.3,91.4,4.8,419,89,1.35,0.732,2.16,1.4,,0.299,0.218,0.389,0.00328,0.00235,0.00435,,,25,8.16,1,C3 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
16,Nicotiana tabacum,tabacum_occhialini,1,0,False,9,0.3,3.9,0.2,91.2,6.3,292,20,1.39,1.11,1.73,1.38,0.04,0.434,0.384,0.488,0.00476,0.00399,0.00571,,,25,8.1,1,C3 plants,,Occhialini 2015,,"Occhialini, Alessandro, et al. “Transgenic Tobacco Plants with Improved Cyanobacterial Rubisco Expression but No Extra Assembly Factors Grow at near Wild-Type Rates If Provided with Elevated CO2.” The Plant Journal: For Cell and Molecular Biology, vol. 85, no. 1, Jan. 2016, pp. 148–60, doi:10.1111/tpj.13098."
17,Chenopodium alba,alba_savir,0,0,,11.2,2.8,2.91,0.07,78.7,1,415,16,1.37,0.908,2.68,1.37,,0.26,0.174,0.509,0.00331,0.0022,0.00649,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
18,Synechococcus sp. PCC 7002,7002_savir,0,0,,246,20,13.4,0.4,52,2,1300,130,1.36,1.02,1.8,1.36,,0.0544,0.0464,0.0655,0.00105,0.000877,0.00128,,,25,,1,Cyanobacteria,likely calculated from data in lorimer and then corrected to an updated pKa value,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
19,Zea mays,mays_savir,0,0,,34,2.38,4.4,0.22,78,3,810,97.2,1.35,0.969,1.79,1.34,,0.13,0.11,0.154,0.00166,0.00139,0.00201,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
20,Triticum aestivum,aestivum_zhu,,0,,14,3,2.5,0.2,98,4,730,41,1.33,0.882,2.41,1.33,,0.179,0.12,0.315,0.00183,0.00123,0.00324,,,25,,1,C3 plants,,Zhu 1998,,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
21,Megathyrsus maximus,maximus_sharwood,1,0,False,13.9,0.8,5.3,0.5,80.3,2.8,265,34,1.26,0.868,1.73,1.3,,0.382,0.303,0.47,0.00476,0.00374,0.00591,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
22,Panicum milioides,milioides_sharwood,1,0,False,7.4,0.3,2.2,0.3,92.3,1,387,46,1.24,0.829,1.74,1.3,,0.298,0.215,0.383,0.00323,0.00234,0.00415,,,25,8.16,1,C3 plants,"C3/C4 intermediate. Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
23,Thalassiosira weissflogii (CCMP 1336),weissflogii_young,1,0,False,65,3,3.2,0.2,79,1,2032,458,1.26,0.698,1.87,1.3,,0.0492,0.0421,0.0571,0.000623,0.000532,0.000725,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
24,Allochromatium vinosum,vinosum_jordan,1,0,False,37,2,6.7,0.4,41,1,290,25,1.28,0.999,1.61,1.28,,0.181,0.154,0.213,0.00442,0.00374,0.00523,14,1,25,8,1,Gammaproteobacteria,,Jordan 1985,3918498,"Jordan DB, Chollet R. Subunit dissociation and reconstitution of ribulose-1,5-bisphosphate carboxylase from Chromatium vinosum. Arch Biochem Biophys. 1985 Feb 1; 236(2):487-96."
25,Allochromatium vinosum,vinosum_savir,0,0,,37,2,6.7,0.4,41,1,290,25,1.28,1,1.6,1.28,,0.181,0.155,0.211,0.00442,0.00374,0.00519,,,25,,1,Gammaproteobacteria,F1A or B?,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
26,Panicum deustum,deustum_sharwood,1,0,False,15.4,0.2,5,0.5,84.8,0.2,306,16,1.16,0.914,1.44,1.2,,0.324,0.26,0.389,0.00382,0.00307,0.00459,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
27,Flaveria bidentis,bidentis_whitney,,0,,20.4,0.5,4.8,0.3,81,1,420,37,1.22,0.963,1.51,1.2,,0.235,0.205,0.267,0.00291,0.00253,0.0033,,,25,,1,C4 plants,,Whitney 2011,,"Whitney, S. M., Sharwood, R. E., Orr, D., White, S. J., Alonso, H., and Galmés, J. (2011). Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc. Natl. Acad. Sci. U. S. A. 108, 14688–14693."
28,H. vulgare cv. Lenins,vulgare_lenins_prins,1,0,False,15.2,2.4,3.99,0.233,102,5.2,465.3,27.8,1.2,0.848,1.81,1.2,,0.262,0.195,0.385,0.00258,0.00188,0.00385,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
29,T. dicoccon2,dicoccon2_prins,1,0,False,13.5,2.3,3.57,0.209,90.9,1.7,397,21.9,1.15,0.827,1.77,1.16,,0.264,0.193,0.399,0.0029,0.00212,0.00442,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
30,Nicotiana tabacum,tabacum_savir,0,0,,10.7,0.6,3.4,0.1,82,2,295,71,1.14,0.588,1.73,1.14,,0.318,0.282,0.361,0.00388,0.00342,0.00445,18.8,1.49,25,8.3,1,C3 plants,From Whitney PlantJ 2001,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
31,Nicotiana tabacum,tabacum_whitney,1,0,,10.7,0.6,3.4,0.1,82,2,295,71,1.14,0.593,1.72,1.14,,0.318,0.282,0.361,0.00388,0.00341,0.00446,18.8,3.2,25,,1,C3 plants,,Whitney 2001,26662726,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
32,T. timonovum,timonovum_prins,1,0,False,16.8,3.3,3.48,0.203,101,3.2,495.1,34.7,1.02,0.697,1.71,1.14,,0.207,0.146,0.342,0.00206,0.00144,0.0034,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
33,Aegilops cylindrica,cylindrica_prins,1,0,False,13.7,2.9,3.68,0.215,109,3.8,451,11.4,1.12,0.761,1.97,1.11,,0.269,0.185,0.47,0.00247,0.00169,0.00435,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
34,Nicotiana tabacum,tabacum_sharwood,1,0,False,9.7,0.1,3.1,0.3,82.6,0.8,283,15,1.09,0.868,1.34,1.1,,0.32,0.26,0.381,0.00387,0.00315,0.00462,,,25,8.16,1,C3 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
35,Panicum milliaceum,milliaceum_sharwood,1,0,False,7.2,0.3,2.1,0.3,79.9,4.3,313,46,1.13,0.704,1.68,1.1,,0.292,0.209,0.38,0.00365,0.00258,0.00485,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
36,Flaveria floridana,floridana_whitney,,0,,14.4,0.5,3.6,0.1,82,2,374,33,1.14,0.928,1.38,1.1,,0.25,0.229,0.273,0.00305,0.00276,0.00337,,,25,,1,C3 plants,C3/C4 intermediate,Whitney 2011,,"Whitney, S. M., Sharwood, R. E., Orr, D., White, S. J., Alonso, H., and Galmés, J. (2011). Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc. Natl. Acad. Sci. U. S. A. 108, 14688–14693."
37,Triticale (Talentro),triticale_talentro_prins,1,0,False,15.8,2.8,3.36,0.196,95.2,2.6,435.5,6.7,0.975,0.697,1.51,1.02,,0.213,0.153,0.33,0.00224,0.0016,0.00347,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
38,Flaveria pringlei,pringlei_whitney,,0,,13.7,0.5,3.5,0.3,81,1,376,35,1.18,0.89,1.51,1,,0.255,0.21,0.303,0.00315,0.00259,0.00375,,,25,,1,C3 plants,,Whitney 2011,,"Whitney, S. M., Sharwood, R. E., Orr, D., White, S. J., Alonso, H., and Galmés, J. (2011). Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc. Natl. Acad. Sci. U. S. A. 108, 14688–14693."
39,T. dicoccon4,dicoccon4_prins,1,0,False,18.6,2.7,3.55,0.207,93.8,3.2,484.6,48.8,0.983,0.692,1.46,0.99,,0.191,0.144,0.269,0.00203,0.00152,0.00289,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
40,T. dicoccon1,dicoccon1_prins,1,0,False,15.4,2.1,3.55,0.207,94.1,3.8,398.7,10.5,0.977,0.73,1.37,0.98,,0.23,0.176,0.319,0.00245,0.00185,0.00343,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
41,Aegilops uniaristata,uniaristata_prins,1,0,False,13.8,2.3,2.7,0.158,102,1.1,450.5,18.1,0.867,0.628,1.3,0.98,,0.196,0.144,0.293,0.00192,0.00141,0.00288,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
42,Aegilops speltoides,speltoides_prins,1,0,False,16.5,3.2,3.24,0.189,102,5.6,446.9,11,0.866,0.596,1.45,0.97,,0.198,0.139,0.326,0.00194,0.00133,0.00323,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
43,T. aestivum SATYN3,aestivumSATYN3_prins,1,0,False,15.7,2.2,3.64,0.213,92.9,5.9,379,13.5,0.947,0.7,1.37,0.95,,0.232,0.177,0.326,0.0025,0.00186,0.00358,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
44,T. dicoccon3,dicoccon3_prins,1,0,False,16.8,2.5,3.36,0.196,95.2,4.2,455.5,37.3,0.958,0.674,1.42,0.95,,0.2,0.149,0.286,0.00211,0.00155,0.00304,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
45,T. aestivum (C),aestivumC_prins,1,0,False,16,1.2,3.57,0.209,100,6,401.5,8.4,0.899,0.72,1.13,0.93,,0.223,0.186,0.269,0.00224,0.0018,0.00281,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
46,T. aestivum SATYN1,aestivumSATYN1_prins,1,0,False,17.6,2.5,3.26,0.19,93.8,3.2,469.1,11.5,0.927,0.696,1.31,0.93,,0.186,0.141,0.258,0.00198,0.00149,0.00277,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
47,Aegilops biuncialis,biuncialis_prins,1,0,False,16.8,2.9,3.2,0.187,96.3,4.9,469.9,15.1,0.928,0.657,1.44,0.93,,0.19,0.139,0.29,0.00198,0.00141,0.00305,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
48,Panicum virgatum,virgatum_sharwood,1,0,False,12.7,0.1,3.3,0.9,82.6,2.8,271,12,0.852,0.399,1.32,0.9,,0.26,0.122,0.398,0.00315,0.00147,0.00485,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
49,T. aestivum SATYN2,aestivumSATYN2_prins,1,0,False,17.9,2.8,3.33,0.195,96.2,3.8,465.4,11.3,0.902,0.659,1.33,0.9,,0.186,0.139,0.272,0.00194,0.00142,0.00286,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
50,T. timopheevii,timopheevii_prins,1,0,False,16.2,2.3,3.43,0.2,102,2.8,429,4.6,0.894,0.674,1.27,0.89,,0.212,0.161,0.3,0.00208,0.00157,0.00294,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
